Data;433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal;2732 - Balança comercial (saldo) - mensal - US$ (milhões)
10/2016;0,26 ;-
11/2016;0,18 ;-
12/2016;0,30 ;-
01/2017;0,38 ;-
02/2017;0,33 ;-
03/2017;0,25 ;-
04/2017;0,14 ;-
05/2017;0,31 ;-
06/2017;-0,23 ;-
07/2017;0,24 ;-
08/2017;0,19 ;-
09/2017;0,16 ;-
10/2017;0,42 ;-
11/2017;0,28 ;-
12/2017;0,44 ;-
01/2018;0,29 ;-
02/2018;0,32 ;-
03/2018;0,09 ;-
04/2018;0,22 ;-
05/2018;0,40 ;-
06/2018;1,26 ;-
07/2018;0,33 ;-
08/2018;-0,09 ;-
09/2018;0,48 ;-
10/2018;0,45 ;-
11/2018;-0,21 ;-
12/2018;0,15 ;-
01/2019;0,32 ;-
02/2019;0,43 ;-
03/2019;0,75 ;-
04/2019;0,57 ;-
05/2019;0,13 ;-
06/2019;0,01 ;-
07/2019;0,19 ;-
08/2019;0,11 ;-
09/2019;-0,04 ;-
10/2019;0,10 ;-
11/2019;0,51 ;-
12/2019;1,15 ;-
01/2020;0,21 ;-
02/2020;0,25 ;-
03/2020;0,07 ;-
04/2020;-0,31 ;-
05/2020;-0,38 ;-
06/2020;0,26 ;-
07/2020;0,36 ;-
08/2020;0,24 ;-
09/2020;0,64 ;-
10/2020;0,86 ;-
11/2020;0,89 ;-
12/2020;1,35 ;-
01/2021;0,25 ;-
02/2021;0,86 ;-
03/2021;0,93 ;-
04/2021;0,31 ;-
05/2021;0,83 ;-
06/2021;0,53 ;-
07/2021;0,96 ;-
08/2021;0,87 ;-
09/2021;1,16 ;-
10/2021;1,25 ;-
11/2021;0,95 ;-
12/2021;0,73 ;-
01/2022;0,54 ;-
02/2022;1,01 ;-
03/2022;1,62 ;-
04/2022;1,06 ;-
05/2022;0,47 ;-
06/2022;0,67 ;-
07/2022;-0,68 ;-
08/2022;-0,36 ;-
09/2022;-0,29 ;-
10/2022;0,59 ;-
11/2022;0,41 ;-
12/2022;0,62 ;-
01/2023;0,53 ;-
02/2023;0,84 ;-
03/2023;0,71 ;-
04/2023;0,61 ;-
05/2023;0,23 ;-
06/2023;-0,08 ;-
07/2023;0,12 ;-
08/2023;0,23 ;-
09/2023;0,26 ;-
10/2023;0,24 ;-
11/2023;0,28 ;-
12/2023;0,56 ;-
01/2024;0,42 ;-
02/2024;0,83 ;-
03/2024;0,16 ;-
04/2024;0,38 ;-
05/2024;0,46 ;-
06/2024;0,21 ;-
07/2024;0,38 ;-
08/2024;-0,02 ;-
Fonte;IBGE;BCB-DSTAT
